1254729.0,good
1030008.0,good
1084056.0,good
652674.0,good
1013630.0,good
1185163.0,good
1153769.0,good
1095366.0,good
569479.0,good
1084785.0,good
1159263.0,good
514775.0,good
982136.0,good
1188036.0,good
468837.0,good
1245540.0,good
995640.0,good
1274416.0,good
934850.0,good
939593.0,good
1135806.0,good
491365.0,good
1181860.0,good
1267837.0,good
1260153.0,good
1198073.0,good
1217554.0,good
1154727.0,good
1030425.0,good
1216298.0,good
1141707.0,good
1237537.0,bad
1219082.0,bad
1215133.0,bad
1247010.0,bad
1038482.0,bad
1130654.0,bad
1194008.0,bad
576652.0,bad
250434.0,bad
722520.0,bad
1210986.0,bad
1247950.0,bad
511754.0,bad
1126381.0,good
1193197.0,good
1215235.0,bad
1192260.0,bad
998788.0,bad
1132810.0,bad
1227358.0,bad
1117161.0,bad
